,@device,@rdgType,value,type,captured_at
130,Workshop,LUX,2216.0,LIGHT+ENV,2021-09-09 12:43:05
131,Workshop,TEMPERATURE,26.29,LIGHT+ENV,2021-09-09 12:43:05
132,Workshop,HUMIDITY,40.79,LIGHT+ENV,2021-09-09 12:43:05
133,Workshop,TEMPERATURE,26.43,LIGHT+ENV,2021-09-09 12:45:04
134,Workshop,LUX,2168.0,LIGHT+ENV,2021-09-09 12:45:04
135,Workshop,PRESSURE,100612.09375,LIGHT+ENV,2021-09-09 12:45:04
136,Workshop,HUMIDITY,41.52,LIGHT+ENV,2021-09-09 12:45:04
137,Workshop,PRESSURE,100613.15625,LIGHT+ENV,2021-09-09 12:47:03
138,Workshop,LUX,2227.0,LIGHT+ENV,2021-09-09 12:47:03
139,Workshop,TEMPERATURE,26.57,LIGHT+ENV,2021-09-09 12:47:03
140,Workshop,HUMIDITY,42.8,LIGHT+ENV,2021-09-09 12:47:03
144,Workshop,TEMPERATURE,26.8,LIGHT+ENV,2021-09-09 12:49:02
143,Workshop,LUX,1899.0,LIGHT+ENV,2021-09-09 12:49:02
142,Workshop,HUMIDITY,42.81,LIGHT+ENV,2021-09-09 12:49:02
141,Workshop,PRESSURE,100616.13281,LIGHT+ENV,2021-09-09 12:49:02
145,Workshop,LUX,1866.0,LIGHT+ENV,2021-09-09 12:51:00
146,Workshop,PRESSURE,100613.59375,LIGHT+ENV,2021-09-09 12:51:00
147,Workshop,HUMIDITY,42.03,LIGHT+ENV,2021-09-09 12:51:00
148,Workshop,TEMPERATURE,26.89,LIGHT+ENV,2021-09-09 12:51:00
149,Workshop,LUX,1783.0,LIGHT+ENV,2021-09-09 12:52:05
150,Workshop,PRESSURE,100615.35938,LIGHT+ENV,2021-09-09 12:52:05
151,Workshop,TEMPERATURE,26.76,LIGHT+ENV,2021-09-09 12:52:05
152,Workshop,HUMIDITY,37.52,LIGHT+ENV,2021-09-09 12:52:05
153,Workshop,TEMPERATURE,26.64,LIGHT+ENV,2021-09-09 12:54:03
154,Workshop,PRESSURE,100610.27344,LIGHT+ENV,2021-09-09 12:54:03
155,Workshop,HUMIDITY,36.31,LIGHT+ENV,2021-09-09 12:54:03
156,Workshop,LUX,2027.0,LIGHT+ENV,2021-09-09 12:54:03
160,Workshop,TEMPERATURE,26.52,LIGHT+ENV,2021-09-09 12:56:02
159,Workshop,HUMIDITY,35.11,LIGHT+ENV,2021-09-09 12:56:02
157,Workshop,LUX,1900.0,LIGHT+ENV,2021-09-09 12:56:02
158,Workshop,PRESSURE,100611.60938,LIGHT+ENV,2021-09-09 12:56:02
161,Workshop,HUMIDITY,34.76,LIGHT+ENV,2021-09-09 12:58:00
162,Workshop,LUX,1819.0,LIGHT+ENV,2021-09-09 12:58:00
163,Workshop,PRESSURE,100613.29688,LIGHT+ENV,2021-09-09 12:58:00
164,Workshop,TEMPERATURE,26.42,LIGHT+ENV,2021-09-09 12:58:00
165,Workshop,PRESSURE,100619.65625,LIGHT+ENV,2021-09-09 12:59:05
166,Workshop,LUX,1354.0,LIGHT+ENV,2021-09-09 12:59:05
167,Workshop,HUMIDITY,35.76,LIGHT+ENV,2021-09-09 12:59:05
168,Workshop,TEMPERATURE,26.5,LIGHT+ENV,2021-09-09 12:59:05
169,Workshop,TEMPERATURE,26.65,LIGHT+ENV,2021-09-09 13:01:03
170,Workshop,PRESSURE,100625.90625,LIGHT+ENV,2021-09-09 13:01:03
171,Workshop,LUX,1342.0,LIGHT+ENV,2021-09-09 13:01:03
172,Workshop,HUMIDITY,37.13,LIGHT+ENV,2021-09-09 13:01:03
174,Workshop,LUX,1688.0,LIGHT+ENV,2021-09-09 13:03:01
176,Workshop,HUMIDITY,39.59,LIGHT+ENV,2021-09-09 13:03:01
173,Workshop,PRESSURE,100622.52344,LIGHT+ENV,2021-09-09 13:03:01
175,Workshop,TEMPERATURE,26.81,LIGHT+ENV,2021-09-09 13:03:01
177,Workshop,HUMIDITY,41.27,LIGHT+ENV,2021-09-09 13:04:05
178,Workshop,TEMPERATURE,26.97,LIGHT+ENV,2021-09-09 13:04:05
179,Workshop,PRESSURE,100619.13281,LIGHT+ENV,2021-09-09 13:04:05
180,Workshop,LUX,2279.0,LIGHT+ENV,2021-09-09 13:04:05
181,Workshop,TEMPERATURE,27.1,LIGHT+ENV,2021-09-09 13:06:04
182,Workshop,PRESSURE,100613.75,LIGHT+ENV,2021-09-09 13:06:04
183,Workshop,HUMIDITY,42.06,LIGHT+ENV,2021-09-09 13:06:04
184,Workshop,LUX,2505.0,LIGHT+ENV,2021-09-09 13:06:04
187,Workshop,PRESSURE,100613.10938,LIGHT+ENV,2021-09-09 13:08:02
185,Workshop,LUX,2566.0,LIGHT+ENV,2021-09-09 13:08:02
186,Workshop,HUMIDITY,47.81,LIGHT+ENV,2021-09-09 13:08:02
188,Workshop,TEMPERATURE,27.26,LIGHT+ENV,2021-09-09 13:08:02
192,Workshop,TEMPERATURE,27.32,LIGHT+ENV,2021-09-09 13:10:00
191,Workshop,LUX,2545.0,LIGHT+ENV,2021-09-09 13:10:00
190,Workshop,PRESSURE,100615.03125,LIGHT+ENV,2021-09-09 13:10:00
189,Workshop,HUMIDITY,42.79,LIGHT+ENV,2021-09-09 13:10:00
193,Workshop,LUX,2218.0,LIGHT+ENV,2021-09-09 13:11:04
194,Workshop,HUMIDITY,39.99,LIGHT+ENV,2021-09-09 13:11:04
195,Workshop,PRESSURE,100612.09375,LIGHT+ENV,2021-09-09 13:11:04
196,Workshop,TEMPERATURE,27.12,LIGHT+ENV,2021-09-09 13:11:04
197,Workshop,LUX,2341.0,LIGHT+ENV,2021-09-09 13:13:03
198,Workshop,PRESSURE,100607.95313,LIGHT+ENV,2021-09-09 13:13:03
199,Workshop,TEMPERATURE,26.93,LIGHT+ENV,2021-09-09 13:13:03
200,Workshop,HUMIDITY,41.84,LIGHT+ENV,2021-09-09 13:13:03
201,Workshop,TEMPERATURE,26.76,LIGHT+ENV,2021-09-09 13:15:01
202,Workshop,LUX,1872.0,LIGHT+ENV,2021-09-09 13:15:01
203,Workshop,HUMIDITY,36.66,LIGHT+ENV,2021-09-09 13:15:01
204,Workshop,PRESSURE,100603.34375,LIGHT+ENV,2021-09-09 13:15:01
208,Workshop,TEMPERATURE,26.55,LIGHT+ENV,2021-09-09 13:17:00
207,Workshop,LUX,1906.0,LIGHT+ENV,2021-09-09 13:17:00
205,Workshop,PRESSURE,100607.96094,LIGHT+ENV,2021-09-09 13:17:00
206,Workshop,HUMIDITY,35.35,LIGHT+ENV,2021-09-09 13:17:00
209,Workshop,PRESSURE,100604.4375,LIGHT+ENV,2021-09-09 13:18:04
210,Workshop,LUX,1921.0,LIGHT+ENV,2021-09-09 13:18:04
211,Workshop,HUMIDITY,36.67,LIGHT+ENV,2021-09-09 13:18:04
212,Workshop,TEMPERATURE,26.47,LIGHT+ENV,2021-09-09 13:18:04
213,Workshop,LUX,2017.0,LIGHT+ENV,2021-09-09 13:20:03
214,Workshop,PRESSURE,100604.61719,LIGHT+ENV,2021-09-09 13:20:03
215,Workshop,TEMPERATURE,26.67,LIGHT+ENV,2021-09-09 13:20:03
216,Workshop,HUMIDITY,40.35,LIGHT+ENV,2021-09-09 13:20:03
217,Workshop,TEMPERATURE,26.92,LIGHT+ENV,2021-09-09 13:22:01
218,Workshop,LUX,2088.0,LIGHT+ENV,2021-09-09 13:22:01
219,Workshop,PRESSURE,100608.36719,LIGHT+ENV,2021-09-09 13:22:01
220,Workshop,HUMIDITY,43.0,LIGHT+ENV,2021-09-09 13:22:01
224,Workshop,HUMIDITY,42.86,LIGHT+ENV,2021-09-09 13:23:05
223,Workshop,LUX,2254.0,LIGHT+ENV,2021-09-09 13:23:05
222,Workshop,PRESSURE,100603.02344,LIGHT+ENV,2021-09-09 13:23:05
221,Workshop,TEMPERATURE,27.01,LIGHT+ENV,2021-09-09 13:23:05
225,Workshop,HUMIDITY,45.28,LIGHT+ENV,2021-09-09 13:25:04
226,Workshop,LUX,2052.0,LIGHT+ENV,2021-09-09 13:25:04
227,Workshop,PRESSURE,100607.64063,LIGHT+ENV,2021-09-09 13:25:04
228,Workshop,TEMPERATURE,27.15,LIGHT+ENV,2021-09-09 13:25:04
229,Workshop,LUX,2185.0,LIGHT+ENV,2021-09-09 13:27:03
230,Workshop,TEMPERATURE,27.25,LIGHT+ENV,2021-09-09 13:27:03
231,Workshop,HUMIDITY,45.29,LIGHT+ENV,2021-09-09 13:27:03
232,Workshop,PRESSURE,100609.50781,LIGHT+ENV,2021-09-09 13:27:03
233,Workshop,LUX,2174.0,LIGHT+ENV,2021-09-09 13:29:01
234,Workshop,TEMPERATURE,27.38,LIGHT+ENV,2021-09-09 13:29:01
235,Workshop,PRESSURE,100598.52344,LIGHT+ENV,2021-09-09 13:29:01
236,Workshop,HUMIDITY,46.87,LIGHT+ENV,2021-09-09 13:29:01
240,Workshop,PRESSURE,100608.8125,LIGHT+ENV,2021-09-09 13:31:00
239,Workshop,HUMIDITY,47.14,LIGHT+ENV,2021-09-09 13:31:00
238,Workshop,TEMPERATURE,27.48,LIGHT+ENV,2021-09-09 13:31:00
237,Workshop,LUX,2170.0,LIGHT+ENV,2021-09-09 13:31:00
241,Workshop,PRESSURE,100611.20313,LIGHT+ENV,2021-09-09 13:32:04
242,Workshop,HUMIDITY,59.11,LIGHT+ENV,2021-09-09 13:32:04
243,Workshop,TEMPERATURE,27.5,LIGHT+ENV,2021-09-09 13:32:04
244,Workshop,LUX,2173.0,LIGHT+ENV,2021-09-09 13:32:04
245,Workshop,HUMIDITY,46.37,LIGHT+ENV,2021-09-09 13:34:02
246,Workshop,PRESSURE,100606.78125,LIGHT+ENV,2021-09-09 13:34:02
247,Workshop,LUX,2166.0,LIGHT+ENV,2021-09-09 13:34:02
248,Workshop,TEMPERATURE,27.49,LIGHT+ENV,2021-09-09 13:34:02
249,Workshop,TEMPERATURE,27.31,LIGHT+ENV,2021-09-09 13:36:00
250,Workshop,LUX,2168.0,LIGHT+ENV,2021-09-09 13:36:00
251,Workshop,PRESSURE,100607.8125,LIGHT+ENV,2021-09-09 13:36:00
252,Workshop,HUMIDITY,40.71,LIGHT+ENV,2021-09-09 13:36:00
256,Workshop,LUX,2105.0,LIGHT+ENV,2021-09-09 13:37:05
255,Workshop,HUMIDITY,39.76,LIGHT+ENV,2021-09-09 13:37:05
254,Workshop,PRESSURE,100601.32813,LIGHT+ENV,2021-09-09 13:37:05
253,Workshop,TEMPERATURE,27.07,LIGHT+ENV,2021-09-09 13:37:05
257,Workshop,LUX,2004.0,LIGHT+ENV,2021-09-09 13:39:03
258,Workshop,TEMPERATURE,26.91,LIGHT+ENV,2021-09-09 13:39:03
259,Workshop,HUMIDITY,36.31,LIGHT+ENV,2021-09-09 13:39:03
260,Workshop,PRESSURE,100610.35938,LIGHT+ENV,2021-09-09 13:39:03
261,Workshop,PRESSURE,100606.9375,LIGHT+ENV,2021-09-09 13:41:01
262,Workshop,HUMIDITY,36.0,LIGHT+ENV,2021-09-09 13:41:01
263,Workshop,LUX,1800.0,LIGHT+ENV,2021-09-09 13:41:01
264,Workshop,TEMPERATURE,26.76,LIGHT+ENV,2021-09-09 13:41:01
265,Workshop,LUX,1792.0,LIGHT+ENV,2021-09-09 13:43:00
266,Workshop,TEMPERATURE,26.71,LIGHT+ENV,2021-09-09 13:43:00
267,Workshop,HUMIDITY,36.94,LIGHT+ENV,2021-09-09 13:43:00
268,Workshop,PRESSURE,100605.39063,LIGHT+ENV,2021-09-09 13:43:00
272,Workshop,LUX,1868.0,LIGHT+ENV,2021-09-09 13:44:04
271,Workshop,TEMPERATURE,26.91,LIGHT+ENV,2021-09-09 13:44:04
270,Workshop,PRESSURE,100609.57813,LIGHT+ENV,2021-09-09 13:44:04
269,Workshop,HUMIDITY,37.61,LIGHT+ENV,2021-09-09 13:44:04
273,Workshop,HUMIDITY,40.96,LIGHT+ENV,2021-09-09 13:46:02
274,Workshop,LUX,1845.0,LIGHT+ENV,2021-09-09 13:46:02
275,Workshop,PRESSURE,100615.02344,LIGHT+ENV,2021-09-09 13:46:02
