,@device,@rdgType,value,type,captured_at
143,Window,LUX,6632.0,LIGHT+ENV,2021-09-02 12:02:03
147,Window,TEMPERATURE,22.5,LIGHT+ENV,2021-09-02 12:04:02
146,Window,LUX,5916.0,LIGHT+ENV,2021-09-02 12:04:02
145,Window,HUMIDITY,61.14,LIGHT+ENV,2021-09-02 12:04:02
144,Window,PRESSURE,100467.0,LIGHT+ENV,2021-09-02 12:04:02
148,Window,LUX,7204.0,LIGHT+ENV,2021-09-02 12:06:00
149,Window,TEMPERATURE,22.65,LIGHT+ENV,2021-09-02 12:06:00
150,Window,HUMIDITY,60.85,LIGHT+ENV,2021-09-02 12:06:00
151,Window,PRESSURE,100470.0,LIGHT+ENV,2021-09-02 12:06:00
152,Window,TEMPERATURE,22.79,LIGHT+ENV,2021-09-02 12:07:05
153,Window,HUMIDITY,60.89,LIGHT+ENV,2021-09-02 12:07:05
154,Window,PRESSURE,100472.0,LIGHT+ENV,2021-09-02 12:07:05
155,Window,LUX,7689.0,LIGHT+ENV,2021-09-02 12:07:05
159,Window,PRESSURE,100474.0,LIGHT+ENV,2021-09-02 12:10:00
158,Window,TEMPERATURE,22.91,LIGHT+ENV,2021-09-02 12:10:00
157,Window,LUX,6207.0,LIGHT+ENV,2021-09-02 12:10:00
156,Window,HUMIDITY,60.79,LIGHT+ENV,2021-09-02 12:10:00
160,Window,LUX,8236.0,LIGHT+ENV,2021-09-02 12:12:01
161,Window,TEMPERATURE,22.93,LIGHT+ENV,2021-09-02 12:12:01
162,Window,HUMIDITY,58.74,LIGHT+ENV,2021-09-02 12:12:01
163,Window,PRESSURE,100475.0,LIGHT+ENV,2021-09-02 12:12:01
164,Window,TEMPERATURE,22.66,LIGHT+ENV,2021-09-02 12:14:00
165,Window,PRESSURE,100478.0,LIGHT+ENV,2021-09-02 12:14:00
166,Window,HUMIDITY,59.7,LIGHT+ENV,2021-09-02 12:14:00
167,Window,LUX,6707.0,LIGHT+ENV,2021-09-02 12:14:00
171,Window,TEMPERATURE,22.25,LIGHT+ENV,2021-09-02 12:16:01
170,Window,PRESSURE,100479.0,LIGHT+ENV,2021-09-02 12:16:01
168,Window,LUX,6646.0,LIGHT+ENV,2021-09-02 12:16:01
169,Window,HUMIDITY,61.53,LIGHT+ENV,2021-09-02 12:16:01
172,Window,HUMIDITY,61.77,LIGHT+ENV,2021-09-02 12:18:00
173,Window,TEMPERATURE,21.9,LIGHT+ENV,2021-09-02 12:18:00
174,Window,PRESSURE,100483.0,LIGHT+ENV,2021-09-02 12:18:00
175,Window,LUX,5693.0,LIGHT+ENV,2021-09-02 12:18:00
176,Window,HUMIDITY,61.4,LIGHT+ENV,2021-09-02 12:20:01
177,Window,TEMPERATURE,21.83,LIGHT+ENV,2021-09-02 12:20:01
178,Window,PRESSURE,100486.0,LIGHT+ENV,2021-09-02 12:20:01
181,Window,LUX,8437.0,LIGHT+ENV,2021-09-02 12:23:02
182,Window,PRESSURE,100488.0,LIGHT+ENV,2021-09-02 12:23:02
179,Window,HUMIDITY,60.25,LIGHT+ENV,2021-09-02 12:23:02
180,Window,TEMPERATURE,21.97,LIGHT+ENV,2021-09-02 12:23:02
186,Window,LUX,8134.0,LIGHT+ENV,2021-09-02 12:25:00
183,Window,TEMPERATURE,22.15,LIGHT+ENV,2021-09-02 12:25:00
184,Window,HUMIDITY,59.99,LIGHT+ENV,2021-09-02 12:25:00
185,Window,PRESSURE,100488.0,LIGHT+ENV,2021-09-02 12:25:00
189,Window,PRESSURE,100489.0,LIGHT+ENV,2021-09-02 12:26:05
190,Window,LUX,8762.0,LIGHT+ENV,2021-09-02 12:26:05
187,Window,TEMPERATURE,22.34,LIGHT+ENV,2021-09-02 12:26:05
188,Window,HUMIDITY,60.13,LIGHT+ENV,2021-09-02 12:26:05
192,Window,PRESSURE,100490.0,LIGHT+ENV,2021-09-02 12:28:03
193,Window,LUX,8032.0,LIGHT+ENV,2021-09-02 12:28:03
191,Window,TEMPERATURE,22.51,LIGHT+ENV,2021-09-02 12:28:03
194,Window,HUMIDITY,59.85,LIGHT+ENV,2021-09-02 12:28:03
198,Window,TEMPERATURE,22.67,LIGHT+ENV,2021-09-02 12:30:02
197,Window,HUMIDITY,59.87,LIGHT+ENV,2021-09-02 12:30:02
195,Window,LUX,8841.0,LIGHT+ENV,2021-09-02 12:30:02
196,Window,PRESSURE,100492.0,LIGHT+ENV,2021-09-02 12:30:02
199,Window,TEMPERATURE,22.81,LIGHT+ENV,2021-09-02 12:32:00
200,Window,PRESSURE,100492.0,LIGHT+ENV,2021-09-02 12:32:00
201,Window,LUX,7842.0,LIGHT+ENV,2021-09-02 12:32:00
202,Window,HUMIDITY,59.89,LIGHT+ENV,2021-09-02 12:32:00
203,Window,LUX,6540.0,LIGHT+ENV,2021-09-02 12:33:05
204,Window,TEMPERATURE,22.94,LIGHT+ENV,2021-09-02 12:33:05
205,Window,HUMIDITY,60.66,LIGHT+ENV,2021-09-02 12:33:05
206,Window,PRESSURE,100496.0,LIGHT+ENV,2021-09-02 12:33:05
210,Window,PRESSURE,100500.0,LIGHT+ENV,2021-09-02 12:35:03
209,Window,LUX,5832.0,LIGHT+ENV,2021-09-02 12:35:03
208,Window,TEMPERATURE,23.04,LIGHT+ENV,2021-09-02 12:35:03
207,Window,HUMIDITY,60.47,LIGHT+ENV,2021-09-02 12:35:03
211,Window,PRESSURE,100504.0,LIGHT+ENV,2021-09-02 12:37:02
212,Window,TEMPERATURE,23.13,LIGHT+ENV,2021-09-02 12:37:02
213,Window,HUMIDITY,60.37,LIGHT+ENV,2021-09-02 12:37:02
214,Window,LUX,4287.0,LIGHT+ENV,2021-09-02 12:37:02
215,Window,HUMIDITY,58.33,LIGHT+ENV,2021-09-02 12:39:00
216,Window,PRESSURE,100509.0,LIGHT+ENV,2021-09-02 12:39:00
217,Window,LUX,3669.0,LIGHT+ENV,2021-09-02 12:39:00
218,Window,TEMPERATURE,23.13,LIGHT+ENV,2021-09-02 12:39:00
222,Window,LUX,2794.0,LIGHT+ENV,2021-09-02 12:40:04
221,Window,TEMPERATURE,22.83,LIGHT+ENV,2021-09-02 12:40:04
219,Window,HUMIDITY,59.45,LIGHT+ENV,2021-09-02 12:40:04
220,Window,PRESSURE,100510.0,LIGHT+ENV,2021-09-02 12:40:04
223,Window,TEMPERATURE,22.43,LIGHT+ENV,2021-09-02 12:42:02
224,Window,PRESSURE,100512.0,LIGHT+ENV,2021-09-02 12:42:02
225,Window,LUX,1685.0,LIGHT+ENV,2021-09-02 12:42:02
226,Window,HUMIDITY,60.32,LIGHT+ENV,2021-09-02 12:42:02
227,Window,PRESSURE,100513.0,LIGHT+ENV,2021-09-02 12:44:00
228,Window,HUMIDITY,60.69,LIGHT+ENV,2021-09-02 12:44:00
229,Window,LUX,2038.0,LIGHT+ENV,2021-09-02 12:44:00
230,Window,TEMPERATURE,22.02,LIGHT+ENV,2021-09-02 12:44:00
232,Window,PRESSURE,100514.0,LIGHT+ENV,2021-09-02 12:45:05
234,Window,HUMIDITY,61.88,LIGHT+ENV,2021-09-02 12:45:05
231,Window,TEMPERATURE,21.7,LIGHT+ENV,2021-09-02 12:45:05
233,Window,LUX,1774.0,LIGHT+ENV,2021-09-02 12:45:05
235,Window,HUMIDITY,62.01,LIGHT+ENV,2021-09-02 12:47:03
236,Window,PRESSURE,100515.0,LIGHT+ENV,2021-09-02 12:47:03
237,Window,LUX,1736.0,LIGHT+ENV,2021-09-02 12:47:03
238,Window,TEMPERATURE,21.64,LIGHT+ENV,2021-09-02 12:47:03
241,Window,TEMPERATURE,21.73,LIGHT+ENV,2021-09-02 12:49:01
239,Window,LUX,2097.0,LIGHT+ENV,2021-09-02 12:49:01
240,Window,PRESSURE,100515.0,LIGHT+ENV,2021-09-02 12:49:01
242,Window,HUMIDITY,61.17,LIGHT+ENV,2021-09-02 12:49:01
246,Window,TEMPERATURE,21.88,LIGHT+ENV,2021-09-02 12:51:00
245,Window,LUX,2414.0,LIGHT+ENV,2021-09-02 12:51:00
244,Window,HUMIDITY,61.21,LIGHT+ENV,2021-09-02 12:51:00
243,Window,PRESSURE,100515.0,LIGHT+ENV,2021-09-02 12:51:00
247,Window,PRESSURE,100516.0,LIGHT+ENV,2021-09-02 12:52:04
248,Window,LUX,1979.0,LIGHT+ENV,2021-09-02 12:52:04
249,Window,TEMPERATURE,22.05,LIGHT+ENV,2021-09-02 12:52:04
250,Window,HUMIDITY,60.03,LIGHT+ENV,2021-09-02 12:52:04
251,Window,LUX,1801.0,LIGHT+ENV,2021-09-02 12:54:02
252,Window,HUMIDITY,60.04,LIGHT+ENV,2021-09-02 12:54:02
253,Window,TEMPERATURE,22.22,LIGHT+ENV,2021-09-02 12:54:02
254,Window,PRESSURE,100517.0,LIGHT+ENV,2021-09-02 12:54:02
258,Window,TEMPERATURE,22.38,LIGHT+ENV,2021-09-02 12:56:01
257,Window,LUX,2146.0,LIGHT+ENV,2021-09-02 12:56:01
255,Window,PRESSURE,100518.0,LIGHT+ENV,2021-09-02 12:56:01
256,Window,HUMIDITY,60.03,LIGHT+ENV,2021-09-02 12:56:01
259,Window,TEMPERATURE,22.53,LIGHT+ENV,2021-09-02 12:57:05
260,Window,HUMIDITY,60.6,LIGHT+ENV,2021-09-02 12:57:05
261,Window,LUX,2148.0,LIGHT+ENV,2021-09-02 12:57:05
262,Window,PRESSURE,100521.0,LIGHT+ENV,2021-09-02 12:57:05
263,Window,PRESSURE,100522.0,LIGHT+ENV,2021-09-02 12:59:03
264,Window,LUX,2503.0,LIGHT+ENV,2021-09-02 12:59:03
265,Window,TEMPERATURE,22.66,LIGHT+ENV,2021-09-02 12:59:03
266,Window,HUMIDITY,60.9,LIGHT+ENV,2021-09-02 12:59:03
270,Window,HUMIDITY,60.75,LIGHT+ENV,2021-09-02 13:01:01
269,Window,LUX,6163.0,LIGHT+ENV,2021-09-02 13:01:01
268,Window,TEMPERATURE,22.78,LIGHT+ENV,2021-09-02 13:01:01
267,Window,PRESSURE,100523.0,LIGHT+ENV,2021-09-02 13:01:01
271,Window,PRESSURE,100524.0,LIGHT+ENV,2021-09-02 13:03:00
272,Window,LUX,7962.0,LIGHT+ENV,2021-09-02 13:03:00
273,Window,TEMPERATURE,22.89,LIGHT+ENV,2021-09-02 13:03:00
274,Window,HUMIDITY,60.3,LIGHT+ENV,2021-09-02 13:03:00
275,Window,PRESSURE,100525.0,LIGHT+ENV,2021-09-02 13:04:04
276,Window,TEMPERATURE,22.99,LIGHT+ENV,2021-09-02 13:04:04
277,Window,LUX,6810.0,LIGHT+ENV,2021-09-02 13:04:04
278,Window,HUMIDITY,60.16,LIGHT+ENV,2021-09-02 13:04:04
282,Window,PRESSURE,100525.0,LIGHT+ENV,2021-09-02 13:06:02
